(state,action)   init_cab_pos    next_cab_pos    psg_spawn_idx0    psg_spawn_idx1    psg_dest_idx0    psg_dest_idx1    reward
(0,south)	 (0,0) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -1
(18,dropoff)	 (3,3) ---> (3,3)	 0 ---> 0	0 ---> 0 	 -5
(19,south)	 (4,3) ---> (4,3)	 0 ---> 0	0 ---> 0 	 -2
(19,north)	 (4,3) ---> (4,2)	 0 ---> 0	0 ---> 0 	 -1
(19,east)	 (4,3) ---> (4,3)	 0 ---> 0	0 ---> 0 	 -2
(19,west)	 (4,3) ---> (4,3)	 0 ---> 0	0 ---> 0 	 -2
(19,pickup)	 (4,3) ---> (4,3)	 0 ---> 0	0 ---> 0 	 -5
(19,dropoff)	 (4,3) ---> (4,3)	 0 ---> 0	0 ---> 0 	 -5
(20,south)	 (0,4) ---> (0,4)	 0 ---> 0	0 ---> 0 	 -2
(20,north)	 (0,4) ---> (0,4)	 0 ---> 0	0 ---> 0 	 -2
(20,east)	 (0,4) ---> (1,4)	 0 ---> 0	0 ---> 0 	 -1
(20,west)	 (0,4) ---> (0,4)	 0 ---> 0	0 ---> 0 	 -2
(20,pickup)	 (0,4) ---> (0,4)	 0 ---> 0	0 ---> 0 	 -5
(20,dropoff)	 (0,4) ---> (0,4)	 0 ---> 0	0 ---> 0 	 -5
(21,south)	 (1,4) ---> (1,4)	 0 ---> 0	0 ---> 0 	 -2
(21,north)	 (1,4) ---> (1,3)	 0 ---> 0	0 ---> 0 	 -1
(21,east)	 (1,4) ---> (1,4)	 0 ---> 0	0 ---> 0 	 -2
(21,west)	 (1,4) ---> (0,4)	 0 ---> 0	0 ---> 0 	 -1
(21,pickup)	 (1,4) ---> (1,4)	 0 ---> 0	0 ---> 0 	 -5
(21,dropoff)	 (1,4) ---> (1,4)	 0 ---> 0	0 ---> 0 	 -5
(22,south)	 (2,4) ---> (2,4)	 0 ---> 0	0 ---> 0 	 -2
(22,north)	 (2,4) ---> (2,4)	 0 ---> 0	0 ---> 0 	 -2
(22,east)	 (2,4) ---> (3,4)	 0 ---> 0	0 ---> 0 	 -1
(22,west)	 (2,4) ---> (2,4)	 0 ---> 0	0 ---> 0 	 -2
(22,pickup)	 (2,4) ---> (2,4)	 0 ---> 0	0 ---> 0 	 -5
(22,dropoff)	 (2,4) ---> (2,4)	 0 ---> 0	0 ---> 0 	 -5
(23,south)	 (3,4) ---> (3,4)	 0 ---> 0	0 ---> 0 	 -2
(23,north)	 (3,4) ---> (3,3)	 0 ---> 0	0 ---> 0 	 -1
(23,east)	 (3,4) ---> (4,4)	 0 ---> 0	0 ---> 0 	 -1
(23,west)	 (3,4) ---> (2,4)	 0 ---> 0	0 ---> 0 	 -1
(23,pickup)	 (3,4) ---> (3,4)	 0 ---> 0	0 ---> 0 	 -5
(23,dropoff)	 (3,4) ---> (3,4)	 0 ---> 0	0 ---> 0 	 -5
(24,south)	 (4,4) ---> (4,4)	 0 ---> 0	0 ---> 0 	 -2
(24,north)	 (4,4) ---> (4,4)	 0 ---> 0	0 ---> 0 	 -2
(24,east)	 (4,4) ---> (4,4)	 0 ---> 0	0 ---> 0 	 -2
(24,west)	 (4,4) ---> (3,4)	 0 ---> 0	0 ---> 0 	 -1
(24,pickup)	 (4,4) ---> (4,4)	 0 ---> 0	0 ---> 0 	 -5
(24,dropoff)	 (4,4) ---> (4,4)	 0 ---> 0	0 ---> 0 	 -5
(25,south)	 (0,0) ---> (0,1)	 1 ---> 1	0 ---> 0 	 -1
(25,north)	 (0,0) ---> (0,0)	 1 ---> 1	0 ---> 0 	 -2
(25,east)	 (0,0) ---> (1,0)	 1 ---> 1	0 ---> 0 	 -1
(25,west)	 (0,0) ---> (0,0)	 1 ---> 1	0 ---> 0 	 -2
(25,pickup)	 (0,0) ---> (0,0)	 1 ---> 1	0 ---> 0 	 -5
(25,dropoff)	 (0,0) ---> (0,0)	 1 ---> 1	0 ---> 0 	 -5
(26,south)	 (1,0) ---> (1,1)	 1 ---> 1	0 ---> 0 	 -1
(26,north)	 (1,0) ---> (1,0)	 1 ---> 1	0 ---> 0 	 -2
(26,east)	 (1,0) ---> (2,0)	 1 ---> 1	0 ---> 0 	 -1
(26,west)	 (1,0) ---> (0,0)	 1 ---> 1	0 ---> 0 	 -1
(26,pickup)	 (1,0) ---> (1,0)	 1 ---> 1	0 ---> 0 	 -5
(26,dropoff)	 (1,0) ---> (1,0)	 1 ---> 1	0 ---> 0 	 -5
(27,south)	 (2,0) ---> (2,0)	 1 ---> 1	0 ---> 0 	 -2
(27,north)	 (2,0) ---> (2,0)	 1 ---> 1	0 ---> 0 	 -2
(27,east)	 (2,0) ---> (3,0)	 1 ---> 1	0 ---> 0 	 -1
(27,west)	 (2,0) ---> (1,0)	 1 ---> 1	0 ---> 0 	 -1
(27,pickup)	 (2,0) ---> (2,0)	 1 ---> 1	0 ---> 0 	 -5
(27,dropoff)	 (2,0) ---> (2,0)	 1 ---> 1	0 ---> 0 	 -5
(28,south)	 (3,0) ---> (3,0)	 1 ---> 1	0 ---> 0 	 -2
(28,north)	 (3,0) ---> (3,0)	 1 ---> 1	0 ---> 0 	 -2
(28,east)	 (3,0) ---> (4,0)	 1 ---> 1	0 ---> 0 	 -1
(28,west)	 (3,0) ---> (2,0)	 1 ---> 1	0 ---> 0 	 -1
(28,pickup)	 (3,0) ---> (3,0)	 1 ---> 1	0 ---> 0 	 -5
(28,dropoff)	 (3,0) ---> (3,0)	 1 ---> 1	0 ---> 0 	 -5
(29,south)	 (4,0) ---> (4,1)	 1 ---> 1	0 ---> 0 	 -1
(29,north)	 (4,0) ---> (4,0)	 1 ---> 1	0 ---> 0 	 -2
(29,east)	 (4,0) ---> (4,0)	 1 ---> 1	0 ---> 0 	 -2
(29,west)	 (4,0) ---> (3,0)	 1 ---> 1	0 ---> 0 	 -1
(29,pickup)	 (4,0) ---> (4,0)	 1 ---> 4	0 ---> 0 	 10
(29,dropoff)	 (4,0) ---> (4,0)	 1 ---> 1	0 ---> 0 	 -5
(30,south)	 (0,1) ---> (0,2)	 1 ---> 1	0 ---> 0 	 -1
(30,north)	 (0,1) ---> (0,0)	 1 ---> 1	0 ---> 0 	 -1
(30,east)	 (0,1) ---> (0,1)	 1 ---> 1	0 ---> 0 	 -2
(30,west)	 (0,1) ---> (0,1)	 1 ---> 1	0 ---> 0 	 -2
(30,pickup)	 (0,1) ---> (0,1)	 1 ---> 1	0 ---> 0 	 -5
(30,dropoff)	 (0,1) ---> (0,1)	 1 ---> 1	0 ---> 0 	 -5
(31,south)	 (1,1) ---> (1,2)	 1 ---> 1	0 ---> 0 	 -1
(31,north)	 (1,1) ---> (1,0)	 1 ---> 1	0 ---> 0 	 -1
(31,east)	 (1,1) ---> (1,1)	 1 ---> 1	0 ---> 0 	 -2
(31,west)	 (1,1) ---> (1,1)	 1 ---> 1	0 ---> 0 	 -2
(31,pickup)	 (1,1) ---> (1,1)	 1 ---> 1	0 ---> 0 	 -5
(31,dropoff)	 (1,1) ---> (1,1)	 1 ---> 1	0 ---> 0 	 -5
(32,south)	 (2,1) ---> (2,2)	 1 ---> 1	0 ---> 0 	 -1
(32,north)	 (2,1) ---> (2,1)	 1 ---> 1	0 ---> 0 	 -2
(32,east)	 (2,1) ---> (3,1)	 1 ---> 1	0 ---> 0 	 -1
(32,west)	 (2,1) ---> (2,1)	 1 ---> 1	0 ---> 0 	 -2
(32,pickup)	 (2,1) ---> (2,1)	 1 ---> 1	0 ---> 0 	 -5
(32,dropoff)	 (2,1) ---> (2,1)	 1 ---> 1	0 ---> 0 	 -5
(33,south)	 (3,1) ---> (3,2)	 1 ---> 1	0 ---> 0 	 -1
(33,north)	 (3,1) ---> (3,1)	 1 ---> 1	0 ---> 0 	 -2
(33,east)	 (3,1) ---> (3,1)	 1 ---> 1	0 ---> 0 	 -2
(33,west)	 (3,1) ---> (2,1)	 1 ---> 1	0 ---> 0 	 -1
(33,pickup)	 (3,1) ---> (3,1)	 1 ---> 1	0 ---> 0 	 -5
(33,dropoff)	 (3,1) ---> (3,1)	 1 ---> 1	0 ---> 0 	 -5
(34,south)	 (4,1) ---> (4,2)	 1 ---> 1	0 ---> 0 	 -1
(34,north)	 (4,1) ---> (4,0)	 1 ---> 1	0 ---> 0 	 -1
(34,east)	 (4,1) ---> (4,1)	 1 ---> 1	0 ---> 0 	 -2
(34,west)	 (4,1) ---> (4,1)	 1 ---> 1	0 ---> 0 	 -2
(34,pickup)	 (4,1) ---> (4,1)	 1 ---> 1	0 ---> 0 	 -5
(34,dropoff)	 (4,1) ---> (4,1)	 1 ---> 1	0 ---> 0 	 -5
(35,south)	 (0,2) ---> (0,3)	 1 ---> 1	0 ---> 0 	 -1
(35,north)	 (0,2) ---> (0,1)	 1 ---> 1	0 ---> 0 	 -1
(35,east)	 (0,2) ---> (0,2)	 1 ---> 1	0 ---> 0 	 -2
(35,west)	 (0,2) ---> (0,2)	 1 ---> 1	0 ---> 0 	 -2
(35,pickup)	 (0,2) ---> (0,2)	 1 ---> 1	0 ---> 0 	 -5
(35,dropoff)	 (0,2) ---> (0,2)	 1 ---> 1	0 ---> 0 	 -5
(36,south)	 (1,2) ---> (1,2)	 1 ---> 1	0 ---> 0 	 -2
(36,north)	 (1,2) ---> (1,1)	 1 ---> 1	0 ---> 0 	 -1
(36,east)	 (1,2) ---> (1,2)	 1 ---> 1	0 ---> 0 	 -2
(36,west)	 (1,2) ---> (1,2)	 1 ---> 1	0 ---> 0 	 -2
(36,pickup)	 (1,2) ---> (1,2)	 1 ---> 1	0 ---> 0 	 -5
(36,dropoff)	 (1,2) ---> (1,2)	 1 ---> 1	0 ---> 0 	 -5
(37,south)	 (2,2) ---> (2,3)	 1 ---> 1	0 ---> 0 	 -1
(37,north)	 (2,2) ---> (2,1)	 1 ---> 1	0 ---> 0 	 -1
(37,east)	 (2,2) ---> (2,2)	 1 ---> 1	0 ---> 0 	 -2
(37,west)	 (2,2) ---> (2,2)	 1 ---> 1	0 ---> 0 	 -2
(37,pickup)	 (2,2) ---> (2,2)	 1 ---> 1	0 ---> 0 	 -5
(37,dropoff)	 (2,2) ---> (2,2)	 1 ---> 1	0 ---> 0 	 -5
(38,south)	 (3,2) ---> (3,3)	 1 ---> 1	0 ---> 0 	 -1
(38,north)	 (3,2) ---> (3,1)	 1 ---> 1	0 ---> 0 	 -1
(38,east)	 (3,2) ---> (3,2)	 1 ---> 1	0 ---> 0 	 -2
(38,west)	 (3,2) ---> (3,2)	 1 ---> 1	0 ---> 0 	 -2
(38,pickup)	 (3,2) ---> (3,2)	 1 ---> 1	0 ---> 0 	 -5
(38,dropoff)	 (3,2) ---> (3,2)	 1 ---> 1	0 ---> 0 	 -5
(39,south)	 (4,2) ---> (4,3)	 1 ---> 1	0 ---> 0 	 -1
(39,north)	 (4,2) ---> (4,1)	 1 ---> 1	0 ---> 0 	 -1
(39,east)	 (4,2) ---> (4,2)	 1 ---> 1	0 ---> 0 	 -2
(39,west)	 (4,2) ---> (4,2)	 1 ---> 1	0 ---> 0 	 -2
(39,pickup)	 (4,2) ---> (4,2)	 1 ---> 1	0 ---> 0 	 -5
(39,dropoff)	 (4,2) ---> (4,2)	 1 ---> 1	0 ---> 0 	 -5
(40,south)	 (0,3) ---> (0,3)	 1 ---> 1	0 ---> 0 	 -2
(40,north)	 (0,3) ---> (0,2)	 1 ---> 1	0 ---> 0 	 -1
(40,east)	 (0,3) ---> (1,3)	 1 ---> 1	0 ---> 0 	 -1
(40,west)	 (0,3) ---> (0,3)	 1 ---> 1	0 ---> 0 	 -2
(40,pickup)	 (0,3) ---> (0,3)	 1 ---> 1	0 ---> 0 	 -5
(40,dropoff)	 (0,3) ---> (0,3)	 1 ---> 1	0 ---> 0 	 -5
(41,south)	 (1,3) ---> (1,4)	 1 ---> 1	0 ---> 0 	 -1
(41,north)	 (1,3) ---> (1,3)	 1 ---> 1	0 ---> 0 	 -2
(41,east)	 (1,3) ---> (2,3)	 1 ---> 1	0 ---> 0 	 -1
(41,west)	 (1,3) ---> (0,3)	 1 ---> 1	0 ---> 0 	 -1
(41,pickup)	 (1,3) ---> (1,3)	 1 ---> 1	0 ---> 0 	 -5
(41,dropoff)	 (1,3) ---> (1,3)	 1 ---> 1	0 ---> 0 	 -5
(42,south)	 (2,3) ---> (2,3)	 1 ---> 1	0 ---> 0 	 -2
(42,north)	 (2,3) ---> (2,2)	 1 ---> 1	0 ---> 0 	 -1
(42,east)	 (2,3) ---> (2,3)	 1 ---> 1	0 ---> 0 	 -2
(42,west)	 (2,3) ---> (1,3)	 1 ---> 1	0 ---> 0 	 -1
(42,pickup)	 (2,3) ---> (2,3)	 1 ---> 1	0 ---> 0 	 -5
(42,dropoff)	 (2,3) ---> (2,3)	 1 ---> 1	0 ---> 0 	 -5
(43,south)	 (3,3) ---> (3,4)	 1 ---> 1	0 ---> 0 	 -1
(43,north)	 (3,3) ---> (3,2)	 1 ---> 1	0 ---> 0 	 -1
(43,east)	 (3,3) ---> (3,3)	 1 ---> 1	0 ---> 0 	 -2
(43,west)	 (3,3) ---> (3,3)	 1 ---> 1	0 ---> 0 	 -2
(43,pickup)	 (3,3) ---> (3,3)	 1 ---> 1	0 ---> 0 	 -5
(43,dropoff)	 (3,3) ---> (3,3)	 1 ---> 1	0 ---> 0 	 -5
(44,south)	 (4,3) ---> (4,3)	 1 ---> 1	0 ---> 0 	 -2
(44,north)	 (4,3) ---> (4,2)	 1 ---> 1	0 ---> 0 	 -1
(44,east)	 (4,3) ---> (4,3)	 1 ---> 1	0 ---> 0 	 -2
(44,west)	 (4,3) ---> (4,3)	 1 ---> 1	0 ---> 0 	 -2
(44,pickup)	 (4,3) ---> (4,3)	 1 ---> 1	0 ---> 0 	 -5
(44,dropoff)	 (4,3) ---> (4,3)	 1 ---> 1	0 ---> 0 	 -5
(45,south)	 (0,4) ---> (0,4)	 1 ---> 1	0 ---> 0 	 -2
(45,north)	 (0,4) ---> (0,4)	 1 ---> 1	0 ---> 0 	 -2
(45,east)	 (0,4) ---> (1,4)	 1 ---> 1	0 ---> 0 	 -1
(45,west)	 (0,4) ---> (0,4)	 1 ---> 1	0 ---> 0 	 -2
(45,pickup)	 (0,4) ---> (0,4)	 1 ---> 1	0 ---> 0 	 -5
(45,dropoff)	 (0,4) ---> (0,4)	 1 ---> 1	0 ---> 0 	 -5
(46,south)	 (1,4) ---> (1,4)	 1 ---> 1	0 ---> 0 	 -2
(46,north)	 (1,4) ---> (1,3)	 1 ---> 1	0 ---> 0 	 -1
(46,east)	 (1,4) ---> (1,4)	 1 ---> 1	0 ---> 0 	 -2
(46,west)	 (1,4) ---> (0,4)	 1 ---> 1	0 ---> 0 	 -1
(46,pickup)	 (1,4) ---> (1,4)	 1 ---> 1	0 ---> 0 	 -5
(46,dropoff)	 (1,4) ---> (1,4)	 1 ---> 1	0 ---> 0 	 -5
(47,south)	 (2,4) ---> (2,4)	 1 ---> 1	0 ---> 0 	 -2
(47,north)	 (2,4) ---> (2,4)	 1 ---> 1	0 ---> 0 	 -2
(47,east)	 (2,4) ---> (3,4)	 1 ---> 1	0 ---> 0 	 -1
(47,west)	 (2,4) ---> (2,4)	 1 ---> 1	0 ---> 0 	 -2
(47,pickup)	 (2,4) ---> (2,4)	 1 ---> 1	0 ---> 0 	 -5
(47,dropoff)	 (2,4) ---> (2,4)	 1 ---> 1	0 ---> 0 	 -5
(48,south)	 (3,4) ---> (3,4)	 1 ---> 1	0 ---> 0 	 -2
(48,north)	 (3,4) ---> (3,3)	 1 ---> 1	0 ---> 0 	 -1
(48,east)	 (3,4) ---> (4,4)	 1 ---> 1	0 ---> 0 	 -1
(48,west)	 (3,4) ---> (2,4)	 1 ---> 1	0 ---> 0 	 -1
(48,pickup)	 (3,4) ---> (3,4)	 1 ---> 1	0 ---> 0 	 -5
(48,dropoff)	 (3,4) ---> (3,4)	 1 ---> 1	0 ---> 0 	 -5
(49,south)	 (4,4) ---> (4,4)	 1 ---> 1	0 ---> 0 	 -2
(49,north)	 (4,4) ---> (4,4)	 1 ---> 1	0 ---> 0 	 -2
(49,east)	 (4,4) ---> (4,4)	 1 ---> 1	0 ---> 0 	 -2
(49,west)	 (4,4) ---> (3,4)	 1 ---> 1	0 ---> 0 	 -1
(49,pickup)	 (4,4) ---> (4,4)	 1 ---> 1	0 ---> 0 	 -5
(49,dropoff)	 (4,4) ---> (4,4)	 1 ---> 1	0 ---> 0 	 -5
(50,south)	 (0,0) ---> (0,1)	 2 ---> 2	0 ---> 0 	 -1
(50,north)	 (0,0) ---> (0,0)	 2 ---> 2	0 ---> 0 	 -2
(50,east)	 (0,0) ---> (1,0)	 2 ---> 2	0 ---> 0 	 -1
(50,west)	 (0,0) ---> (0,0)	 2 ---> 2	0 ---> 0 	 -2
(50,pickup)	 (0,0) ---> (0,0)	 2 ---> 2	0 ---> 0 	 -5
(50,dropoff)	 (0,0) ---> (0,0)	 2 ---> 2	0 ---> 0 	 -5
(51,south)	 (1,0) ---> (1,1)	 2 ---> 2	0 ---> 0 	 -1
(51,north)	 (1,0) ---> (1,0)	 2 ---> 2	0 ---> 0 	 -2
(51,east)	 (1,0) ---> (2,0)	 2 ---> 2	0 ---> 0 	 -1
(51,west)	 (1,0) ---> (0,0)	 2 ---> 2	0 ---> 0 	 -1
(51,pickup)	 (1,0) ---> (1,0)	 2 ---> 2	0 ---> 0 	 -5
(51,dropoff)	 (1,0) ---> (1,0)	 2 ---> 2	0 ---> 0 	 -5
(52,south)	 (2,0) ---> (2,0)	 2 ---> 2	0 ---> 0 	 -2
(52,north)	 (2,0) ---> (2,0)	 2 ---> 2	0 ---> 0 	 -2
(52,east)	 (2,0) ---> (3,0)	 2 ---> 2	0 ---> 0 	 -1
